Sr. No,Symbol,Company Name,MarketCap
127,PATANJALI,Patanjali Foods Limited,5701419
128,PERSISTENT,Persistent Systems Limited,5684296
129,INDIANB,Indian Bank,5669371
130,HINDPETRO,Hindustan Petroleum Corporation Limited,5658589
131,PGHH,Procter & Gamble Hygiene and Health Care Limited,5637148
132,GODREJPROP,Godrej Properties Limited,5597911
133,LTTS,L&T Technology Services Limited,5555848
134,MRF,MRF Limited,5495641
135,TATAELXSI,Tata Elxsi Limited,5451337
136,CUMMINSIND,Cummins India Limited,5444069
137,GICRE,General Insurance Corporation of India,5404429
138,INDUSTOWER,Indus Towers Limited,5364272
139,PIIND,PI Industries Limited,5334257
140,ASHOKLEY,Ashok Leyland Limited,5330539
141,AUBANK,AU Small Finance Bank Limited,5264624
142,OBEROIRLTY,Oberoi Realty Limited,5248053
143,CONCOR,Container Corporation of India Limited,5237799
144,FACT,Fertilizers and Chemicals Travancore Limited,5214106
145,SUZLON,Suzlon Energy Limited,5186297
146,MPHASIS,MphasiS Limited,5171663
147,BANKINDIA,Bank of India,5126304
148,ASTRAL,Astral Limited,5124195
149,SAIL,Steel Authority of India Limited,5107395
150,TATACOMM,Tata Communications Limited,5045355
151,SCHAEFFLER,Schaeffler India Limited,5006407
152,BALKRISIND,Balkrishna Industries Limited,4965449
153,NYKAA,FSN E-Commerce Ventures Limited,4964809
154,GMRINFRA,GMR Airports Infrastructure Limited,4861954
155,LINDEINDIA,Linde India Limited,4810201
156,TATATECH,Tata Technologies Limited,4787497
157,UCOBANK,UCO Bank,4752493
158,PRESTIGE,Prestige Estates Projects Limited,4725758
159,UBL,United Breweries Limited,4720029
160,JSL,Jindal Stainless Limited,4710869
161,AWL,Adani Wilmar Limited,4612559
162,MAZDOCK,Mazagon Dock Shipbuilders Limited,4600347
163,TORNTPOWER,Torrent Power Limited,4488240
164,UPL,UPL Limited,4407943
165,JSWINFRA,JSW Infrastructure Limited,4374303
166,CENTRALBK,Central Bank of India,4349151
167,ABCAPITAL,Aditya Birla Capital Limited,4325674
168,PAGEIND,Page Industries Limited,4295664
169,DALBHARAT,Dalmia Bharat Limited,4267084
170,APLAPOLLO,APL Apollo Tubes Limited,4264805
171,3MINDIA,3M India Limited,4202902
172,ACC,ACC Limited,4152446
173,KPITTECH,KPIT Technologies Limited,4150126
174,L&TFH,L&T Finance Holdings Limited,4105748
175,FLUOROCHEM,Gujarat Fluorochemicals Limited,4063626
176,OIL,Oil India Limited,4035614
177,PAYTM,One 97 Communications Limited,4033981
178,PHOENIXLTD,The Phoenix Mills Limited,4010390
179,UNOMINDA,UNO Minda Limited,3941111
180,DIXON,Dixon Technologies (India) Limited,3927783
181,SUNDARMFIN,Sundaram Finance Limited,3897857
182,BANDHANBNK,Bandhan Bank Limited,3888730
183,COFORGE,Coforge Limited,3869387
184,FEDERALBNK,The Federal Bank  Limited,3801009
185,RVNL,Rail Vikas Nigam Limited,3785354
186,SONACOMS,Sona BLW Precision Forgings Limited,3779617
187,JUBLFOOD,Jubilant Foodworks Limited,3728455
188,COROMANDEL,Coromandel International Limited,3684777
189,THERMAX,Thermax Limited,3671801
190,OFSS,Oracle Financial Services Software Limited,3649032
191,KALYANKJIL,Kalyan Jewellers India Limited,3647418
192,POLICYBZR,PB Fintech Limited,3580970
193,SJVN,SJVN Limited,3574149
194,NLCINDIA,NLC India Limited,3514430
195,AIAENG,AIA Engineering Limited,3479950
196,NIACL,The New India Assurance Company Limited,3466568
197,METROBRAND,Metro Brands Limited,3458672
198,M&MFIN,Mahindra & Mahindra Financial Services Limited,3418711
199,DEEPAKNTR,Deepak Nitrite Limited,3384184
200,POONAWALLA,Poonawalla Fincorp Limited,3348033
201,PETRONET,Petronet LNG Limited,3339750
202,ESCORTS,Escorts Kubota Limited,3296274
203,MFSL,Max Financial Services Limited,3293430
204,HONAUT,Honeywell Automation India Limited,3257836
205,VOLTAS,Voltas Limited,3237211
206,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,3215581
207,MAHABANK,Bank of Maharashtra,3197240
208,GUJGASLTD,Gujarat Gas Limited,3176920
209,CRISIL,CRISIL Limited,3170754
210,GLAND,Gland Pharma Limited,3169689
211,FORTIS,Fortis Healthcare Limited,3164785
212,BDL,Bharat Dynamics Limited,3138416
213,STARHEALTH,Star Health and Allied Insurance Company Limited,3124399
214,MANYAVAR,Vedant Fashions Limited,3078733
215,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,3036122
216,LLOYDSME,Lloyds Metals And Energy Limited,3027936
217,BSE,BSE Limited,3006980
218,BIOCON,Biocon Limited,2997298
219,LICHSGFIN,LIC Housing Finance Limited,2948888
220,KEI,KEI Industries Limited,2932350
221,IGL,Indraprastha Gas Limited,2928453
222,ANGELONE,Angel One Limited,2927792
223,JKCEMENT,JK Cement Limited,2927115
224,ITI,ITI Limited,2926381
225,PSB,Punjab & Sind Bank,2924615
226,APOLLOTYRE,Apollo Tyres Limited,2883676
227,DELHIVERY,Delhivery Limited,2861153
228,IPCALAB,IPCA Laboratories Limited,2824109
229,SYNGENE,Syngene International Limited,2819934
230,KPRMILL,K.P.R. Mill Limited,2819282
231,TATACHEM,Tata Chemicals Limited,2812764
232,SUNTV,Sun TV Network Limited,2806671
233,NAM-INDIA,Nippon Life India Asset Management Limited,2806485
234,IREDA,Indian Renewable Energy Development Agency Limited,2763022
235,MSUMI,Motherson Sumi Wiring India Limited,2730034
236,ENDURANCE,Endurance Technologies Limited,2719294
237,EXIDEIND,Exide Industries Limited,2701725
238,KANSAINER,Kansai Nerolac Paints Limited,2693925
239,AJANTPHARM,Ajanta Pharma Limited,2669680
240,HINDCOPPER,Hindustan Copper Limited,2646261
241,ZEEL,Zee Entertainment Enterprises Limited,2638547
242,SUNDRMFAST,Sundram Fasteners Limited,2624293
243,GRINDWELL,Grindwell Norton Limited,2578780
244,MEDANTA,Global Health Limited,2574621
245,360ONE,360 ONE WAM LIMITED,2543843
246,CREDITACC,CREDITACCESS GRAMEEN LIMITED,2541325
247,CYIENT,Cyient Limited,2539984
248,HATSUN,Hatsun Agro Product Limited,2536323
249,HUDCO,Housing & Urban Development Corporation Limited,2521393
250,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,2518925
251,IRB,IRB Infrastructure Developers Limited,2509205
252,GODREJIND,Godrej Industries Limited,2506489
253,EMAMILTD,Emami Limited,2460769
254,NH,Narayana Hrudayalaya Ltd.,2456315
255,TIMKEN,Timken India Limited,2446076
256,APARINDS,Apar Industries Limited,2431549
257,NATIONALUM,National Aluminium Company Limited,2423436
258,RAMCOCEM,The Ramco Cements Limited,2411009
259,GLENMARK,Glenmark Pharmaceuticals Limited,2409575
260,RATNAMANI,Ratnamani Metals & Tubes Limited,2357369
261,AARTIIND,Aarti Industries Limited,2354826
262,DEVYANI,Devyani International Limited,2336352
263,MRPL,Mangalore Refinery and Petrochemicals Limited,2333585
264,ISEC,ICICI Securities Limited,2320497
265,LAURUSLABS,Laurus Labs Limited,2317276
266,IIFL,IIFL Finance Limited,2280873
267,SKFINDIA,SKF India Limited,2274196
268,RELAXO,Relaxo Footwears Limited,2249160
269,KIOCL,KIOCL Limited,2237436
270,POWERINDIA,Hitachi Energy India Limited,2231120
271,RADICO,Radico Khaitan Limited,2217206
272,TATAINVEST,Tata Investment Corporation Limited,2166516
273,LALPATHLAB,Dr. Lal Path Labs Ltd.,2151809
274,FIVESTAR,Five-Star Business Finance Limited,2147564
275,ABFRL,Aditya Birla Fashion and Retail Limited,2123242
276,BATAINDIA,Bata India Limited,2122504
277,CARBORUNIV,Carborundum Universal Limited,2115888
278,GILLETTE,Gillette India Limited,2112418
279,ATUL,Atul Limited,2111103
280,PEL,Piramal Enterprises Limited,2092518
281,SONATSOFTW,Sonata Software Limited,2082855
282,KAJARIACER,Kajaria Ceramics Limited,2073065
283,BRIGADE,Brigade Enterprises Limited,2070891
284,ASTERDM,Aster DM Healthcare Limited,2047005
285,PNBHOUSING,PNB Housing Finance Limited,2027461
286,IDFC,IDFC Limited,2026380
287,SUMICHEM,Sumitomo Chemical India Limited,2016798
288,CROMPTON,Crompton Greaves Consumer Electricals Limited,1990366
289,BSOFT,BIRLASOFT LIMITED,1988288
290,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,1952979
291,PFIZER,Pfizer Limited,1952948
292,BLUESTARCO,Blue Star Limited,1947172
293,NAVINFLUOR,Navin Fluorine International Limited,1909455
294,CDSL,Central Depository Services (India) Limited,1906498
295,SANOFI,Sanofi India Limited,1858007
296,TRIDENT,Trident Limited,1849832
297,MOTILALOFS,Motilal Oswal Financial Services Limited,1843042
298,SUVENPHAR,Suven Pharmaceuticals Limited,1839996
299,PPLPHARMA,Piramal Pharma Limited,1836913
300,AFFLE,Affle (India) Limited,1830774
301,VINATIORGA,Vinati Organics Limited,1791954
302,TTML,Tata Teleservices (Maharashtra) Limited,1791691
303,CIEINDIA,CIE Automotive India Limited,1785659
304,COCHINSHIP,Cochin Shipyard Limited,1780991
305,CASTROLIND,Castrol India Limited,1777947
306,RRKABEL,R R Kabel Limited,1772834
307,JYOTHYLAB,Jyothy Labs Limited,1758562
308,CESC,CESC Limited,1756381
309,BLUEDART,Blue Dart Express Limited,1746957
310,WHIRLPOOL,Whirlpool of India Limited,1734148
311,JBMA,JBM Auto Limited,1731375
312,GSPL,Gujarat State Petronet Limited,1726487
313,ELGIEQUIP,Elgi Equipments Limited,1725728
314,CENTURYPLY,Century Plyboards (India) Limited,1715064
315,RBLBANK,RBL Bank Limited,1683124
316,CELLO,Cello World Limited,1670577
317,KAYNES,Kaynes Technology India Limited,1668613
318,RHIM,RHI MAGNESITA INDIA LIMITED,1662853
319,CLEAN,Clean Science and Technology Limited,1645879
320,FINCABLES,Finolex Cables Limited,1635151
321,INDIAMART,Indiamart Intermesh Limited,1632572
322,INOXWIND,Inox Wind Limited,1628928
323,PVRINOX,PVR INOX Limited,1628075
324,IRCON,Ircon International Limited,1612044
325,DCMSHRIRAM,DCM Shriram Limited,1603711
326,SHYAMMETL,Shyam Metalics and Energy Limited,1601397
327,APTUS,Aptus Value Housing Finance India Limited,1595309
328,CGCL,Capri Global Capital Limited,1587288
329,KIMS,Krishna Institute of Medical Sciences Limited,1583910
330,TVSHLTD,TVS Holdings Limited,1561989
331,EIHOTEL,EIH Limited,1560284
332,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1554120
333,CONCORDBIO,Concord Biotech Limited,1539741
334,FINEORG,Fine Organic Industries Limited,1526330
335,KEC,KEC International Limited,1514765
336,NSLNISP,NMDC Steel Limited,1506331
337,IEX,Indian Energy Exchange Limited,1498044
338,APLLTD,Alembic Pharmaceuticals Limited,1492700
339,TEJASNET,Tejas Networks Limited,1478312
340,NATCOPHARM,Natco Pharma Limited,1474211
341,TANLA,Tanla Platforms Limited,1471865
342,NBCC,NBCC (India) Limited,1467900
343,LAXMIMACH,Lakshmi Machine Works Limited,1467711
344,MANAPPURAM,Manappuram Finance Limited,1455868
345,WELCORP,Welspun Corp Limited,1434327
346,CHALET,Chalet Hotels Limited,1430471
347,POLYMED,Poly Medicure Limited,1429475
348,HONASA,Honasa Consumer Limited,1418264
349,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,1405321
350,WELSPUNLIV,Welspun Living Limited,1403777
351,ASAHIINDIA,Asahi India Glass Limited,1401657
352,GESHIP,The Great Eastern Shipping Company Limited,1394550
353,ARE&M,Amara Raja Energy & Mobility Limited,1393830
354,ZENSARTECH,Zensar Technologies Limited,1383254
355,REDINGTON,Redington Limited,1382072
356,ASTRAZEN,AstraZeneca Pharma India Limited,1381650
357,NUVOCO,Nuvoco Vistas Corporation Limited,1366122
358,BIKAJI,Bikaji Foods International Limited,1365905
359,CENTURYTEX,Century Textiles & Industries Limited,1365536
360,HAPPSTMNDS,Happiest Minds Technologies Limited,1364458
361,HSCL,Himadri Speciality Chemical Limited,1363950
362,KARURVYSYA,Karur Vysya Bank Limited,1355570
363,J&KBANK,The Jammu & Kashmir Bank Limited,1354454
364,ABSLAMC,Aditya Birla Sun Life AMC Limited,1352115
365,SWANENERGY,Swan Energy Limited,1348616
366,SFL,Sheela Foam Limited,1348282
367,TRITURBINE,Triveni Turbine Limited,1348275
368,BASF,BASF India Limited,1327289
369,JINDALSAW,Jindal Saw Limited,1317547
370,BLS,BLS International Services Limited,1315100
371,JWL,Jupiter Wagons Limited,1315011
372,RKFORGE,Ramkrishna Forgings Limited,1311893
373,FINPIPE,Finolex Industries Limited,1309206
374,CAMS,Computer Age Management Services Limited,1302433
375,ALKYLAMINE,Alkyl Amines Chemicals Limited,1296284
376,GMDCLTD,Gujarat Mineral Development Corporation Limited,1294260
377,GET&D,GE T&D India Limited,1288810
378,FSL,Firstsource Solutions Limited,1288388
379,WESTLIFE,WESTLIFE FOODWORLD LIMITED,1273765
380,ECLERX,eClerx Services Limited,1270541
381,VGUARD,V-Guard Industries Limited,1267856
382,NUVAMA,Nuvama Wealth Management Limited,1264325
383,MAHSEAMLES,Maharashtra Seamless Limited,1239962
384,ERIS,Eris Lifesciences Limited,1237812
385,AEGISCHEM,Aegis Logistics Limited,1235169
386,SIGNATURE,Signatureglobal (India) Limited,1232771
387,JAIBALAJI,Jai Balaji Industries Limited,1222399
388,AAVAS,Aavas Financiers Limited,1212567
389,RAINBOW,Rainbow Childrens Medicare Limited,1210966
390,HBLPOWER,HBL Power Systems Limited,1209679
391,RITES,RITES Limited,1207277
392,KSB,Ksb Limited,1206701
393,HFCL,HFCL Limited,1202312
394,SYRMA,Syrma SGS Technology Limited,1191596
395,EQUITASBNK,Equitas Small Finance Bank Limited,1190616
396,AKZOINDIA,Akzo Nobel India Limited,1187441
397,MGL,Mahanagar Gas Limited,1185827
398,BEML,BEML Limited,1178206
399,AETHER,Aether Industries Limited,1176119
400,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,1169915
401,KPIL,Kalpataru Projects International Limited,1152068
402,RAYMOND,Raymond Limited,1147165
403,INTELLECT,Intellect Design Arena Limited,1142935
404,CRAFTSMAN,Craftsman Automation Limited,1142249
405,BAJAJELEC,Bajaj Electricals Limited,1137553
406,ANURAS,Anupam Rasayan India Limited,1132118
407,VTL,Vardhman Textiles Limited,1116648
408,UJJIVANSFB,Ujjivan Small Finance Bank Limited,1113273
409,BIRLACORPN,Birla Corporation Limited,1109609
410,GRINFRA,G R Infraprojects Limited,1106316
411,OLECTRA,Olectra Greentech Limited,1105463
412,CUB,City Union Bank Limited,1103553
413,UTIAMC,UTI Asset Management Company Limited,1102147
414,BBTC,Bombay Burmah Trading Corporation Limited,1098419
415,GODFRYPHLP,Godfrey Phillips India Limited,1096474
416,NEWGEN,Newgen Software Technologies Limited,1094659
417,RAILTEL,Railtel Corporation Of India Limited,1084772
418,ANANDRATHI,Anand Rathi Wealth Limited,1082617
419,RAJESHEXPO,Rajesh Exports Limited,1082275
420,GRAPHITE,Graphite India Limited,1074957
421,GODREJAGRO,Godrej Agrovet Limited,1071479
422,ZYDUSWELL,Zydus Wellness Limited,1069720
423,GPIL,Godawari Power And Ispat limited,1066742
424,ALOKINDS,Alok Industries Limited,1060079
425,IBULHSGFIN,Indiabulls Housing Finance Limited,1059353
426,JKLAKSHMI,JK Lakshmi Cement Limited,1058325
427,AMBER,Amber Enterprises India Limited,1056433
428,RTNINDIA,RattanIndia Enterprises Limited,1053981
429,SPLPETRO,Supreme Petrochem Limited,1052279
430,MAPMYINDIA,C.E. Info Systems Limited,1051347
431,NCC,NCC Limited,1046934
432,DATAPATTNS,Data Patterns (India) Limited,1041974
433,ELECON,Elecon Engineering Company Limited,1040038
434,CHENNPETRO,Chennai Petroleum Corporation Limited,1036423
435,CANFINHOME,Can Fin Homes Limited,1035473
436,CAPLIPOINT,Caplin Point Laboratories Limited,1029870
437,TTKPRESTIG,TTK Prestige Limited,1027546
438,PRAJIND,Praj Industries Limited,1021445
439,CERA,Cera Sanitaryware Limited,1020610
440,SWSOLAR,Sterling and Wilson Renewable Energy Limited,1007275
441,RENUKA,Shree Renuka Sugars Limited,1003583
442,ROUTE,ROUTE MOBILE LIMITED,1001029
443,GRSE,Garden Reach Shipbuilders & Engineers Limited,1000325
444,EIDPARRY,EID Parry India Limited,988595
445,ACE,"",987378
446,GALAXYSURF,Galaxy Surfactants Limited,984135
447,INGERRAND,Ingersoll Rand (India) Limited,983106
448,GRANULES,Granules India Limited,982684
449,CEATLTD,CEAT Limited,981724
450,JKTYRE,JK Tyre & Industries Limited,980738
451,SCHNEIDER,Schneider Electric Infrastructure Limited,978414
452,HAPPYFORGE,Happy Forgings Limited,969604
453,ENGINERSIN,Engineers India Limited,963622
454,GSFC,Gujarat State Fertilizers & Chemicals Limited,961925
455,ANANTRAJ,Anant Raj Limited,956408
456,JPPOWER,Jaiprakash Power Ventures Limited,956058
457,SBFC,SBFC Finance Limited,955657
458,KIRLOSENG,Kirloskar Oil Engines Limited,949670
459,LEMONTREE,Lemon Tree Hotels Limited,949507
460,PCBL,PCBL LIMITED,949507
461,JMFINANCIL,JM Financial Limited,938914
462,LATENTVIEW,Latent View Analytics Limited,936966
463,SOBHA,Sobha Limited,934896
464,SPARC,Sun Pharma Advanced Research Company Limited,930665
465,SAFARI,Safari Industries (India) Limited,928203
466,PRSMJOHNSN,Prism Johnson Limited,924918
467,MINDACORP,Minda Corporation Limited,923444
468,NETWORK18,Network18 Media & Investments Limited,914510
469,ESABINDIA,Esab India Limited,905379
470,SAPPHIRE,Sapphire Foods India Limited,905096
471,USHAMART,Usha Martin Limited,903407
472,PNCINFRA,PNC Infratech Limited,901607
473,MMTC,MMTC Limited,897000
474,MEDPLUS,Medplus Health Services Limited,896036
475,SARDAEN,Sarda Energy & Minerals Limited,892406
476,RPOWER,Reliance Power Limited,888006
477,RCF,Rashtriya Chemicals and Fertilizers Limited,879943
478,TVSSCS,TVS Supply Chain Solutions Limited,870856
479,JUBLPHARMA,Jubilant Pharmova Limited,868799
480,TV18BRDCST,TV18 Broadcast Limited,865752
481,BALAMINES,Balaji Amines Limited,864621
482,MASTEK,Mastek Limited,863586
483,TECHNOE,Techno Electric & Engineering Company Limited,860791
484,METROPOLIS,Metropolis Healthcare Limited,859609
485,KRBL,KRBL Limited,858566
486,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,857660
487,RATEGAIN,Rategain Travel Technologies Limited,857187
488,CCL,CCL Products (India) Limited,856367
489,CAMPUS,Campus Activewear Limited,854564
490,VIPIND,VIP Industries Limited,848277
491,MAHSCOOTER,Maharashtra Scooters Limited,847920
492,VARROC,Varroc Engineering Limited,846742
493,SURYAROSNI,Surya Roshni Limited,845570
494,MAHLIFE,Mahindra Lifespace Developers Limited,842169
495,GAEL,Gujarat Ambuja Exports Limited,841775
496,RELINFRA,Reliance Infrastructure Limited,831083
497,BALRAMCHIN,Balrampur Chini Mills Limited,828080
498,IONEXCHANG,ION Exchange (India) Limited,824560
499,KFINTECH,Kfin Technologies Limited,822490
500,HOMEFIRST,Home First Finance Company India Limited,821762
501,PGHL,Procter & Gamble Health Limited,821296
502,PRINCEPIPE,Prince Pipes And Fittings Limited,821192
503,RESPONIND,Responsive Industries Limited,818221
504,PTCIL,PTC Industries Limited,813756
505,KTKBANK,The Karnataka Bank Limited,811564
506,JUBLINGREA,Jubilant Ingrevia Limited,810104
507,GLS,Glenmark Life Sciences Limited,805065
508,MANINFRA,Man Infraconstruction Limited,804500
509,SPANDANA,Spandana Sphoorty Financial Limited,803137
510,INDIACEM,The India Cements Limited,802324
511,ACI,Archean Chemical Industries Limited,801710
512,INOXINDIA,INOX India Limited,801079
513,LXCHEM,Laxmi Organic Industries Limited,799298
514,TMB,Tamilnad Mercantile Bank Limited,798804
515,CHEMPLASTS,Chemplast Sanmar Limited,790469
516,ALLCARGO,Allcargo Logistics Limited,790403
517,EMIL,Electronics Mart India Limited,786426
518,SANDUMA,Sandur Manganese & Iron Ores Limited,784587
519,MIDHANI,Mishra Dhatu Nigam Limited,783362
520,QUESS,Quess Corp Limited,776467
521,TEGA,Tega Industries Limited,765530
522,MHRIL,Mahindra Holidays & Resorts India Limited,765343
523,SHOPERSTOP,Shoppers Stop Limited,759645
524,DOMS,DOMS Industries Limited,759076
525,SCI,Shipping Corporation Of India Limited,758787
526,GRAVITA,Gravita India Limited,756759
527,TRIVENI,Triveni Engineering & Industries Limited,754541
528,GPPL,Gujarat Pipavav Port Limited,739905
529,HEG,HEG Limited,736537
530,EDELWEISS,Edelweiss Financial Services Limited,734698
531,DBREALTY,D B Realty Limited,730679
532,MARKSANS,Marksans Pharma Limited,730248
533,RUSTOMJEE,Keystone Realtors Limited,729063
534,VESUVIUS,Vesuvius India Limited,728913
535,STARCEMENT,Star Cement Limited,727525
536,PDSL,PDS Limited,726347
537,CSBBANK,CSB Bank Limited,726298
538,IFCI,IFCI Limited,725722
539,GMMPFAUDLR,GMM Pfaudler Limited,724665
540,ISGEC,Isgec Heavy Engineering Limited,721619
541,KNRCON,KNR Constructions Limited,721226
542,EASEMYTRIP,Easy Trip Planners Limited,715018
543,SAREGAMA,Saregama India Limited,714745
544,JLHL,Jupiter Life Line Hospitals Limited,714604
545,INDIGOPNTS,Indigo Paints Limited,709598
546,LTFOODS,LT Foods Limited,705618
547,KIRLOSBROS,Kirloskar Brothers Limited,705191
548,RELIGARE,Religare Enterprises Limited,702629
